datetime,ESo,ESh,ESl,ESc,volume,adl,atr,delta
12/31/2020 16:00:00,3715.5,3743.5,3705.5,3739.25,916959,21824044.43,45.69,-28380
01/04/2021 16:00:00,3739.5,3763.75,3643,3682.75,1960565,21154286.2,51.05,-28848
01/05/2021 16:00:00,3685.5,3720.5,3663.75,3708.75,1355936,21948733.28,51.46,7409
01/06/2021 16:00:00,3708,3765.25,3676,3731,2070918,22430207.21,54.16,-15890
01/07/2021 16:00:00,3743,3794.5,3732.5,3786,1250100,23337537.86,54.83,-22447
01/08/2021 16:00:00,3788.25,3815,3765.5,3808,1546346,24446533.47,54.45,8203
01/11/2021 16:00:00,3806,3811.25,3767,3782.5,1255317,24070647.59,53.72,-2451
01/12/2021 16:00:00,3784.75,3797.25,3758.5,3785,1195417,24510252.55,52.65,-5334
01/13/2021 16:00:00,3782.5,3804,3767,3794.25,1011649,24988735.19,51.53,-16701
01/14/2021 16:00:00,3799,3808.25,3776.75,3781.75,1129704,24217667.38,50.1,2842
01/15/2021 16:00:00,3783.5,3788.25,3732,3752.75,1702100,23771338.94,50.54,4295
01/18/2021 12:00:00,3743.75,3759.5,3740.5,3759,101447,23867446.62,48.29,-1704
01/19/2021 16:00:00,3759.75,3787.5,3758.25,3781,1106686,24482272.17,46.93,-8951
01/20/2021 16:00:00,3787.25,3843,3779,3835.5,1198295,25399716.78,48.15,7217
01/21/2021 16:00:00,3832,3850.25,3827,3836.5,1028321,25211744.13,46.37,14274
01/22/2021 16:00:00,3837.25,3839.5,3803.75,3824.75,1138129,25410717.73,45.61,23191
01/25/2021 16:00:00,3826,3843.75,3779,3839,1723103,26881010.25,46.98,-5735
01/26/2021 16:00:00,3835.5,3852.75,3812,3833,1155765,26916463.17,46.53,-15168
01/27/2021 16:00:00,3835.75,3843.5,3697,3734.75,2503399,25703211.77,53.67,15765
01/28/2021 16:00:00,3725.75,3814,3694,3769.75,2086091,26250810.66,58.41,-18355
01/29/2021 16:00:00,3760.75,3767.75,3676,3695.75,2590152,24775764.97,60.93,15471
02/01/2021 16:00:00,3682.75,3767.5,3647,3756.25,1633594,26104331.05,65.19,16304
02/02/2021 16:00:00,3755.25,3826.25,3750.5,3808.75,1381364,26847441.05,65.94,26436
02/03/2021 16:00:00,3820,3834,3798.25,3814,1240418,26699978.77,63.79,-5750
02/04/2021 16:00:00,3823.25,3860.25,3801.75,3855,1107363,27608584.31,63.41,397
02/05/2021 16:00:00,3854.75,3878.75,3850.5,3870.75,1077433,28075789.77,60.9,-10605
02/08/2021 16:00:00,3879.5,3901.75,3876,3901,936974,28958182.76,58.76,1721
02/09/2021 16:00:00,3901,3903.75,3885.5,3896,861426,29087986.68,55.87,-5112
02/10/2021 16:00:00,3902.75,3919,3868.75,3893.5,1529419,29065159.53,55.47,-27347
02/11/2021 16:00:00,3897.5,3911,3875,3902.5,1265842,29733242.81,54.08,-32422
02/12/2021 16:00:00,3895.75,3926.75,3880.75,3921.5,990673,30497783.93,53.5,10615
02/15/2021 12:00:00,3927,3942.5,3925.25,3941,129800,30605010.01,51.18,16370
02/16/2021 16:00:00,3941.25,3949.75,3909.25,3918.25,1287477,29889745.01,50.42,-13093
02/17/2021 16:00:00,3919.5,3922.75,3887,3917.5,1356896,30848112.12,49.37,-18744
02/18/2021 16:00:00,3918.75,3926.5,3871,3900,1497632,30915573.02,49.81,7085
02/19/2021 16:00:00,3901,3921.5,3880.75,3893.5,1371566,30402287.58,49.16,-13954
02/22/2021 16:00:00,3896,3905,3851.75,3864,1474316,29606295.38,49.45,-21590
02/23/2021 16:00:00,3868.5,3886.5,3795.25,3868.5,2225502,30953791.11,52.44,7504
02/24/2021 16:00:00,3866.75,3918.25,3842.25,3913,1886757,32579877.73,54.12,-7697
