model,score_m,score_std,loss_m,loss_std,train_t_m,train_t_std,pred_t_m,pred_t_std,n_params,overall
"['D-CNN', 'CNN-LSTM']",0.9417666666666666,0.0026936138467782713,0.2815695222881105,0.014689423190569704,34.81666666666667,5.237056000803844,0.3148444444444445,0.018841509205363635,190496,5.248233024729786
"['D-CNN', 'WAVENET', 'CNN-LSTM', 'CNN']",0.941611111111111,0.0018663359495394046,0.3200715018643273,0.012768321852376382,46.15888888888889,7.1828908517152295,0.591188888888889,0.08767482147679377,332636,3.765659872176907
"['ConvLSTM', 'D-CNN', 'WAVENET', 'CNN-LSTM', 'CNN']",0.9415666666666667,0.0030517754395324335,0.27949579473998815,0.010481643993010574,54.142222222222216,16.88030856601711,0.5445333333333333,0.31232938097819457,409378,3.596994177299317
"['WAVENET', 'CNN-LSTM']",0.9415222222222221,0.0034934153227585067,0.3166477522916264,0.014567173541123819,39.00333333333333,5.192162897632889,0.31375555555555557,0.05038264937480651,185340,5.164811615427224
"['ConvLSTM', 'D-CNN', 'WAVENET', 'CNN-LSTM']",0.9413777777777779,0.0026573912762447426,0.2676912819345792,0.009678851262216561,67.82111111111111,6.039507787973095,0.5624777777777779,0.143315431267907,290716,3.61212033193281
"['D-CNN', 'CNN-LSTM', 'CNN']",0.9413666666666667,0.0033236526092037043,0.30487901745019136,0.011930026364087323,34.238888888888894,3.9486156348901273,0.5559,0.06325340570541109,309158,4.082713211910362
"['D-CNN', 'WAVENET', 'CNN-LSTM']",0.9413111111111111,0.001743842783716762,0.309102275857219,0.015131032896689033,43.30333333333333,7.1837811152004845,0.5508111111111111,0.045337731268152465,213974,4.203163811618098
"['WAVENET', 'CNN-LSTM', 'CNN']",0.9413111111111111,0.002634153646258862,0.32401921848456067,0.015255207496497076,38.47888888888889,4.843808062176895,0.515511111111111,0.06431959170068796,304002,4.159164870219132
"['ConvLSTM', 'D-CNN', 'CNN-LSTM']",0.9410333333333334,0.003575844888507707,0.23267559486406825,0.011588993758266606,72.60555555555555,7.9426515459415,0.4513888888888889,0.07579917097823467,267238,3.9184870907272957
"['ConvLSTM', 'D-CNN', 'CNN-LSTM', 'CNN']",0.941011111111111,0.0037146689532310657,0.2612138669937849,0.012387679388412195,63.48777777777778,10.104474012125936,0.5355222222222222,0.19073730496725813,385900,3.4621883824835606
